alternate_full_precision_repo,architectures,availability_ok,available,card_fetched_utc,card_len,card_sha256,condition,downloads,family,fetch_error,file_formats,gated,gated_blocking,gated_probe_error,hidden_size,last_modified,license,likes,min_load_bytes,missing_reason,num_hidden_layers,org,parameter_count,parameter_count_source,parent_declared_matches_inferred,parent_declared_null_reason,parent_evidence_quote,parent_note,parent_repo_declared,parent_repo_inferred_instruct,primary_weight_files,quantisation,quantisation_verified,repo_id,sha,total_download_size_bytes,usable_for_forward_pass
,['Gemma2ForCausalLM'],True,True,2026-09-19T01:57:09.652182+00:00,29081,bb52a3f239a1e7b24907644c29e51ff3159fcff5488333d75b1056ddfdd74950,instruct,672553,Gemma-2,,"['.json', '.md', '.model', '.safetensors']",manual,False,,2304,2024-08-27 19:41:44+00:00,gemma,1505,5250532505,,26,google,2614341888,safetensors_metadata,,not applicable: condition != abliterated,,,,,model-00001-of-00002.safetensors;model-00002-of-00002.safetensors,none (full precision),none (full precision primary weights),google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,5250587389,True
,['Gemma2ForCausalLM'],True,True,2026-09-19T01:57:09.689122+00:00,8391,af33ece2b0b363f78661e654516dba5771822fa2053562655f0e0de8c1a8d21a,abliterated,486,Gemma-2,,"['.json', '.md', '.model', '.safetensors']",False,False,,2304,2024-07-31 18:26:44+00:00,gemma,56,5250532540,,26,IlyaGusev,2614341888,safetensors_metadata,True,,[Abliterated](https://huggingface.co/blog/mlabonne/abliteration) version of [google/gemma-2-2b-it](https://huggingface.co/google/gemma-2-2b-it).,,google/gemma-2-2b-it,google/gemma-2-2b-it,model-00001-of-00002.safetensors;model-00002-of-00002.safetensors,none (full precision),none (full precision primary weights),IlyaGusev/gemma-2-2b-it-abliterated,b7f67f3bcbbcbf275f158bff124cb7f0c448e9d6,5250566914,True
,['Gemma3ForCausalLM'],True,True,2026-09-19T01:57:09.746801+00:00,23490,1a07e8c0d17528f69c487b2f84abcdd9144ab959335417cd00bf9930f2598fdd,base,75752,Gemma-3,,"['.json', '.md', '.model', '.safetensors']",manual,False,,1152,2025-03-21 16:14:00+00:00,gemma,202,2039041958,,26,google,999885952,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),google/gemma-3-1b-pt,fcf18a2a879aab110ca39f8bffbccd5d49d8eb29,2039067218,True
,['Gemma3ForCausalLM'],True,True,2026-09-19T01:57:09.768201+00:00,24259,60be259533fe3acba21d109a51673815a4c29aefdb7769862695086fcedbeb7a,instruct,3018334,Gemma-3,,"['.json', '.md', '.model', '.safetensors']",manual,False,,1152,2025-04-04 13:12:40+00:00,gemma,1164,2039043625,,26,google,999885952,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),google/gemma-3-1b-it,dcc83ea841ab6100d6b47a070329e1ba4cf78752,2039069601,True
,['Gemma3ForCausalLM'],True,True,2026-09-19T01:57:09.766709+00:00,4738,2ea013cb777a2e8a304905edc37cc40057142e9bd2a2b85b2e421762e85e1dc3,abliterated,1315,Gemma-3,,"['.jinja', '.json', '.md', '.model', '.safetensors']",False,False,,1152,2025-11-21 01:59:27+00:00,,47,2039094541,,26,DavidAU,999885952,safetensors_metadata,True,,google/gemma-3-1b-it,,google/gemma-3-1b-it,google/gemma-3-1b-it,model.safetensors,none (full precision),none (full precision primary weights),DavidAU/gemma-3-1b-it-heretic-extreme-uncensored-abliterated,5a2a35d933daecb71f5f71ab0b4661b60e73ccd3,2039102466,True
,['LlamaForCausalLM'],True,True,2026-09-19T01:57:09.690527+00:00,7193,83c5404c1162e01c59e08fec9e8233b357ecf0ca3249e78f4b1ee13c5b3c320c,base,247330,SmolLM2,,"['.json', '.md', '.safetensors', '.txt']",False,False,,2048,2025-02-06 10:31:23+00:00,apache-2.0,160,3426154796,,24,HuggingFaceTB,1711376384,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),HuggingFaceTB/SmolLM2-1.7B,effd688a12921b4cc83e3312b6feb579f70f9c71,3426163516,True
,['LlamaForCausalLM'],True,True,2026-09-19T01:57:10.108812+00:00,14916,b00c0570dbc43674a0028d088fc72f40d83eea90f47cd987706ca2f95ed114c0,instruct,254992,SmolLM2,,"['.0', '.1', '.bin', '.json', '.md', '.onnx', '.onnx_data', '.safetensors', '.txt']",False,False,,2048,2025-04-21 20:51:14+00:00,apache-2.0,756,3426155020,,24,HuggingFaceTB,1711376384,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,22672484308,True
,['LlamaForCausalLM'],True,True,2026-09-19T01:57:10.109819+00:00,5171,0336368f8274a5ed09f54cee8d56a851ecee96026d9f391a6735762c16608a60,abliterated,18,SmolLM2,,"['.json', '.md', '.safetensors', '.txt']",False,False,,2048,2025-01-24 00:48:10+00:00,,0,1819773469,,24,venkycs,1712015360,safetensors_metadata,,"base_model not present in the repo's card_data (YAML front-matter) and no huggingface.co/<org>/<repo> URL naming a parent was found near any of ('abliterat', 'uncensor', 'version of', 'finetuned from', 'fine-tuned from', 'derived from', 'based on') in the README body.",,,,HuggingFaceTB/SmolLM2-1.7B-Instruct,model.safetensors,none (full precision),none (full precision primary weights),venkycs/SmolLM2-1.7B-Instruct-Abliterated,6af7e5de7b23b924b312d9d3e88f233be31b17d0,1819780162,True
,['LlamaForCausalLM'],True,True,2026-09-19T01:57:10.144720+00:00,6159,80e71fd7f30eab54702bda974219037b482c4916d76ebba3c708f4759c45be38,base,8522,Falcon3,,"['.json', '.md', '.safetensors']",False,False,,2048,2025-03-10 04:53:37+00:00,other,31,3348981357,,18,tiiuae,1669408768,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),tiiuae/Falcon3-1B-Base,cb37ef3559b157b5c9d9226296ba01a5162da1f7,3348989039,True
,['LlamaForCausalLM'],True,True,2026-09-19T01:57:10.206258+00:00,7454,f8e4380e06067d1d0c6c8f1b048728398f280b9cf9a37c129fec47e38c09232d,instruct,8610,Falcon3,,"['.json', '.md', '.safetensors']",False,False,,2048,2025-01-10 06:58:42+00:00,other,46,3348983604,,18,tiiuae,1669408768,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),tiiuae/Falcon3-1B-Instruct,28ba2251970a01dd1edc7ba7dad2eb71216ccfdf,3348992577,True
,['LlamaForCausalLM'],True,True,2026-09-19T01:57:10.015873+00:00,3762,0f9fa489a1b0800f644bc3c61236769662603eddf82552193ab048f2455584dd,abliterated,138,Falcon3,,"['.gguf', '.md']",False,False,,2048,2024-12-22 22:18:07+00:00,other,0,,,18,mradermacher,1669408768,inherited_from_instruct_same_family:tiiuae/Falcon3-1B-Instruct,False,,base_model: huihui-ai/Falcon3-1B-Instruct-abliterated,"the full-precision huihui-ai abliteration this GGUF was quantised from has since been DELETED from the Hub (verified 404), so this mirror is the only surviving artifact of that edit",huihui-ai/Falcon3-1B-Instruct-abliterated,tiiuae/Falcon3-1B-Instruct,,GGUF,quantised (GGUF only - no transformers-loadable weights in this repo),mradermacher/Falcon3-1B-Instruct-abliterated-GGUF,a1def4e8804314152d1aa56677c7fbca6cb2ff6d,15319878616,False
,['Lfm2ForCausalLM'],True,True,2026-09-19T01:57:10.229335+00:00,8490,f77164a1089860516deb642b95b80ff90a256429f331a6aa62a82d10a7b6c217,base,20828,LFM2,,"['.jinja', '.json', '.md', '.safetensors']",False,False,,2048,2026-08-24 18:35:06+00:00,other,150,2345524622,,16,LiquidAI,1170340608,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),LiquidAI/LFM2.5-1.2B-Base,7453bca97ca1e67754c4035a4b4c584e1c9dd725,2345546543,True
,['Lfm2ForCausalLM'],True,True,2026-09-19T01:57:10.250686+00:00,16256,682de876c2d172eaeffff775ad8422b5fd7ada701543916e62129e3be8eab077,instruct,233044,LFM2,,"['.jinja', '.json', '.md', '.safetensors', '.yaml']",False,False,,2048,2026-08-24 21:06:29+00:00,other,671,2345525340,,16,LiquidAI,1170340608,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),LiquidAI/LFM2.5-1.2B-Instruct,0f604ada3f766f9f257460c4c9f0b5d6f69d431b,2345559487,True
,['Lfm2ForCausalLM'],True,True,2026-09-19T01:57:10.261546+00:00,8684,d84fb7f2b895de2d228c9b72ebdd00d8369a9dd900a91e76b1f8bb2d5000c66d,abliterated,213,LFM2,,"['.jinja', '.json', '.md', '.safetensors']",False,False,,2048,2026-01-25 11:47:13+00:00,other,17,2345525308,,16,huihui-ai,1170340608,safetensors_metadata,True,,base_model: LiquidAI/LFM2.5-1.2B-Instruct,,LiquidAI/LFM2.5-1.2B-Instruct,LiquidAI/LFM2.5-1.2B-Instruct,model.safetensors,none (full precision),none (full precision primary weights),huihui-ai/Huihui-LFM2.5-1.2B-Instruct-abliterated,f76bd329399236de76a1b524e0ea20c82d57c534,2345547896,True
,['GraniteForCausalLM'],True,True,2026-09-19T01:57:10.487019+00:00,10711,ee35f25d2d435630af5bd2a71a5ed39b8821187b94eaea083e968f6c4777d236,base,2484,Granite-3.x,,"['.json', '.md', '.safetensors']",False,False,,2048,2024-12-19 19:25:16+00:00,apache-2.0,25,10136207042,,40,ibm-granite,2533525504,safetensors_metadata,,not applicable: condition != abliterated,,,,,model-00001-of-00003.safetensors;model-00002-of-00003.safetensors;model-00003-of-00003.safetensors,none (full precision),none (full precision primary weights),ibm-granite/granite-3.0-2b-base,a8462c21f5e1f27be4536dc36d6cc789da23fbd6,10136249127,True
,['GraniteForCausalLM'],True,True,2026-09-19T01:57:10.588525+00:00,11454,868bde31a3e10e10c406fb88ed31d4e6a1f1e5d3398dd17621801936946434ed,instruct,5589,Granite-3.x,,"['.json', '.md', '.safetensors', '.txt']",False,False,,2048,2024-12-19 19:45:46+00:00,apache-2.0,48,5273145900,,40,ibm-granite,2634201088,safetensors_metadata,,not applicable: condition != abliterated,,,,,model-00001-of-00002.safetensors;model-00002-of-00002.safetensors,none (full precision),none (full precision primary weights),ibm-granite/granite-3.0-2b-instruct,5ad66c190631382717bd92d7b052adb1a7b669e7,5273188871,True
